region_name_1_20000,prefecture,region_name_10km,mesh_10km,number_of_factories,number_of_workers,shipment
一関,宮城,築館,584100,45,2351,737067
一関,宮城,佐沼,584101,61,3099,5036164
一関,宮城,米谷,584102,22,311,0
一関,宮城,志津川,584103,29,638,1093638
一関,宮城,伊里前,584104,8,100,0
一関,宮城,金成,584110,34,1426,810752
一関,岩手,若柳,584111,46,1693,578132
一関,宮城,米川,584112,6,255,0
一関,宮城,馬籠,584113,8,389,0
一関,宮城,津谷,584114,23,633,57498
一関,宮城,萩荘,584120,11,178,0
一関,岩手,有壁,584121,41,1589,2346156
一関,岩手,千厩南部,584122,29,1778,1177573
一関,岩手,津谷川,584123,11,150,40512
一関,宮城,気仙沼,584124,157,3974,8247368
一関,宮城,唐桑,584125,16,305,343623
一関,岩手,平泉,584130,50,1604,910000
一関,岩手,一関,584131,52,3258,9621286
一関,岩手,千厩北部,584132,39,1126,163497
一関,岩手,折壁,584133,12,517,6277
一関,宮城,鹿折,584134,6,173,0
一関,岩手,陸前広田,584135,17,375,525781
一関,岩手,古戸,584140,29,879,399694
一関,岩手,前沢,584141,45,1512,1799183
一関,岩手,沖田,584142,18,458,0
一関,岩手,陸中大原,584143,5,72,0
一関,岩手,今泉,584144,14,468,444357
一関,岩手,大船渡,584145,93,2439,4657552
一関,岩手,綾里,584146,11,153,90763
一関,岩手,供養塚,584150,29,1005,205148
一関,岩手,水沢,584151,112,2734,1656635
一関,岩手,世田米,584154,12,510,372247
一関,岩手,盛,584155,13,298,16686
一関,岩手,越喜来,584156,14,209,105189
一関,岩手,金ヶ崎,584160,53,5359,35744601
一関,岩手,陸中江刺,584161,73,3464,8328176
一関,岩手,人首,584162,3,48,0
一関,岩手,種山ヶ原,584163,2,36,0
一関,岩手,陸前八日町,584164,7,110,24052
一関,岩手,小白浜,584166,8,188,274907
一関,岩手,平田(岩手),584167,10,196,238910
一関,岩手,北上,584170,171,8325,19365280
一関,岩手,口内,584171,32,1559,5610957
一関,岩手,野手崎,584172,1,23,0
一関,岩手,小友,584173,9,226,189403
一関,岩手,遠野,584174,32,1089,274122
一関,岩手,陸中大橋,584175,2,38,0
一関,岩手,小佐野,584176,28,2209,9017570
一関,岩手,釜石,584177,35,769,989051
七尾,石川,津幡,553605,160,2651,3386871
七尾,石川,石動,553606,24,258,150310
七尾,富山,戸出,553607,256,7314,11688457
七尾,石川,加賀高松,553615,98,2205,9535770
七尾,石川,宝達山,553616,31,484,238676
七尾,富山,飯久保,553617,122,5265,9837510
七尾,石川,羽咋,553626,66,2896,1982763
七尾,富山,氷見,553627,90,2042,3318347
七尾,石川,柴垣,553636,39,498,251693
七尾,石川,能登二宮,553637,49,1516,1526427
七尾,石川,能登福浦,553645,1,8,0
七尾,石川,能登高浜,553646,47,1968,3593687
七尾,石川,七尾,553647,124,3244,3442326
七尾,石川,富来,553655,12,121,45406
七尾,石川,中島,553656,9,160,0
七尾,石川,和倉,553657,6,90,0
七尾,石川,剱地,553665,7,74,0
七尾,石川,穴水,553667,15,340,11246
七尾,石川,門前,553675,5,55,10500
七尾,石川,門前,553676,7,206,20781
七尾,石川,長沢,553677,7,83,0
三宅島,東京,三宅島,513904,1,5,0
三宅島,東京,三宅島,513914,1,7,0
三宅島,東京,神津島,513921,3,26,24696
三宅島,東京,新島,513942,11,85,35570
三宅島,東京,利島,513962,2,9,0
与論島,沖縄,伊江島,402706,6,41,0
与論島,沖縄,仲宗根,402707,12,185,188095
与論島,沖縄,伊是名島,402727,1,7,0
与論島,沖縄,伊平屋島南部,402737,2,37,0
与論島,沖縄,伊平屋島北部,402747,5,38,0
中津,大分,裏耶馬溪,503100,5,85,0
中津,大分,深耶馬溪,503101,1,15,0
中津,大分,豊後豊岡,503103,17,323,302811
中津,大分,杵築,503104,59,2452,7179329
中津,大分,住吉浜,503105,8,866,0
中津,大分,耶馬溪西部,503110,8,126,0
中津,大分,耶馬溪東部,503111,9,284,0
中津,大分,下市,503112,27,662,898311
中津,大分,立石,503113,6,206,0
中津,大分,若宮,503114,16,781,1738427
中津,大分,下原,503115,38,3347,924506
中津,福岡,下河内,503120,2,12,0
中津,大分,土佐井,503121,71,3992,5187740
中津,大分,宇佐,503122,81,3750,3589583
中津,大分,豊後高田,503123,65,3125,3113417
中津,大分,両子山,503124,1,8,0
中津,unknown_prefecture,unknown_name,503125,24,1377,1413225
中津,福岡,椎田,503130,29,1209,973435
中津,福岡,中津,503131,113,6006,11624119
中津,大分,定留,503132,4,3350,0
中津,大分,浜,503133,5,123,0
中津,大分,香々地,503134,5,133,0
中津,大分,富来浦,503135,6,142,0
中津,福岡,蓑島,503140,26,1174,3098775
中津,大分,竹田津,503144,2,75,0
中津,大分,姫島,503145,5,49,4787
中津,福岡,神ノ島,503150,7,1265,2035301
中津,福岡,小倉,503160,1,15,0
中津,福岡,白野江,503170,5,95,0
中津,山口,宇部,503171,122,6821,27599496
中津,山口,宇部東部,503172,92,3201,12353414
中津,山口,竹島,503173,1,5,0
中津,山口,野島,503175,1,5,0
中津,山口,笠戸島,503176,12,614,3308604
中津,山口,光,503177,78,9096,49810190
久米島,沖縄,久米島南部,392636,3,53,0
久米島,沖縄,久米島,392645,1,9,0
久米島,沖縄,久米島,392646,13,170,6790
久遠,unknown_prefecture,unknown_name,633903,5,39,0
久遠,unknown_prefecture,unknown_name,633913,2,17,0
久遠,unknown_prefecture,unknown_name,633924,1,12,0
久遠,unknown_prefecture,unknown_name,633926,2,18,0
久遠,unknown_prefecture,unknown_name,633946,1,7,0
久遠,unknown_prefecture,unknown_name,633947,2,12,0
久遠,unknown_prefecture,unknown_name,633956,5,64,0
京都及大阪,兵庫,前開,523500,232,14553,62380951
京都及大阪,兵庫,神戸首部,523501,344,9724,25515579
京都及大阪,兵庫,西宮,523502,378,20765,89194124
京都及大阪,大阪,大阪西北部,523503,2561,71733,273729568
京都及大阪,unknown_prefecture,unknown_name,523504,4121,94445,235848618
京都及大阪,大阪,生駒山,523505,962,19244,44927190
京都及大阪,奈良,奈良,523506,135,2713,4469626
京都及大阪,奈良,柳生,523507,10,133,0
京都及大阪,兵庫,淡河,523510,47,1935,1511713
京都及大阪,兵庫,有馬,523511,38,885,1128506
京都及大阪,兵庫,宝塚,523512,84,3576,5709166
京都及大阪,兵庫,伊丹,523513,989,42706,114578994
京都及大阪,大阪,吹田,523514,996,32072,115544672
京都及大阪,大阪,枚方,523515,422,18900,63576288
京都及大阪,京都,田辺,523516,137,3640,6120177
京都及大阪,京都,笠置山,523517,26,282,114816
京都及大阪,兵庫,天神,523520,90,2040,3367437
京都及大阪,兵庫,三田,523521,76,4505,34844370
京都及大阪,兵庫,武田尾,523522,9,220,0
京都及大阪,大阪,広根,523523,33,1519,2519575
京都及大阪,大阪,高槻,523524,119,7991,23722294
京都及大阪,京都,淀,523525,563,24380,69972858
京都及大阪,京都,宇治,523526,487,16373,62321376
京都及大阪,滋賀,朝宮,523527,52,2316,4346506
京都及大阪,兵庫,比延,523530,28,916,1113625
京都及大阪,兵庫,藍本,523531,79,5565,18992414
京都及大阪,兵庫,木津,523532,12,449,0
京都及大阪,大阪,妙見山,523533,31,658,141207
京都及大阪,京都,法貴,523534,40,794,330719
京都及大阪,京都,京都西南部,523535,1074,33491,149025783
京都及大阪,京都,京都東南部,523536,751,18046,46855624
京都及大阪,滋賀,瀬田,523537,237,18891,77558556
京都及大阪,兵庫,谷川,523540,43,876,1753976
京都及大阪,兵庫,篠山,523541,57,1875,1791083
京都及大阪,兵庫,福住,523542,21,828,826652
京都及大阪,京都,埴生,523543,20,461,209680
京都及大阪,京都,亀岡,523544,142,4925,12697431
京都及大阪,京都,京都西北部,523545,482,13072,45985855
京都及大阪,京都,京都東北部,523546,474,6201,7667559
京都及大阪,滋賀,草津,523547,278,15208,53851349
京都及大阪,兵庫,柏原,523550,86,3520,6094907
京都及大阪,兵庫,宮田,523551,19,602,916201
京都及大阪,兵庫,村雲,523552,8,134,59030
京都及大阪,京都,園部,523553,39,1386,1316874
京都及大阪,京都,殿田,523554,11,868,0
京都及大阪,京都,周山,523555,8,50,12726
京都及大阪,京都,大原,523556,18,392,51884
京都及大阪,滋賀,堅田,523557,63,1739,1994817
京都及大阪,兵庫,黒井,523560,59,1899,1840831
京都及大阪,京都,市島,523561,50,1471,2312596
京都及大阪,京都,菟原,523562,12,369,65575
京都及大阪,京都,胡麻,523563,28,1029,1242775
京都及大阪,京都,四ッ谷,523564,8,63,0
京都及大阪,京都,上弓削,523565,10,93,0
京都及大阪,京都,花脊,523566,1,6,0
京都及大阪,滋賀,比良山,523567,8,134,66480
京都及大阪,京都,福知山西部,523570,43,852,917667
京都及大阪,京都,福知山東部,523571,112,6690,21136951
京都及大阪,京都,綾部,523572,56,3256,7218417
京都及大阪,京都,和知,523573,10,107,0
京都及大阪,京都,島,523574,12,205,82127
京都及大阪,京都,中,523575,2,27,0
京都及大阪,京都,久多,523576,1,4,0
京都及大阪,滋賀,北小松,523577,4,86,0
仙台,山形,羽前小松,574000,93,3069,4262567
仙台,山形,赤湯,574001,100,3201,3063590
仙台,山形,二井宿,574002,1,6,0
仙台,宮城,白石,574004,11,281,166703
仙台,unknown_prefecture,unknown_name,574005,86,3984,5390214
仙台,宮城,亘理,574006,114,8621,19866449
仙台,宮城,荒浜,574007,34,1323,2731459
仙台,山形,長井,574010,111,2976,2708381
仙台,山形,羽前中山,574011,27,748,1059451
仙台,山形,上山,574012,79,2648,3901930
仙台,宮城,遠刈田,574014,8,112,0
仙台,宮城,村田,574015,44,2158,5519769
仙台,宮城,岩沼,574016,52,3332,13937448
仙台,宮城,仙台空港,574017,89,2997,5837126
仙台,山形,荒砥,574020,46,1527,1599570
仙台,山形,白鷹山,574021,6,42,0
仙台,山形,山形南部,574022,171,5274,7450017
仙台,山形,笹谷峠,574023,5,50,0
仙台,宮城,今宿,574024,4,135,0
仙台,宮城,陸前川崎,574025,19,671,0
仙台,宮城,仙台西南部,574026,27,632,339741
仙台,宮城,仙台東南部,574027,163,3056,9138630
仙台,山形,宮宿,574031,14,326,295072
仙台,山形,山形北部,574032,293,7337,10594071
仙台,山形,山寺,574033,60,1820,3055580
仙台,宮城,熊ヶ根,574035,21,1002,1462164
仙台,宮城,仙台西北部,574036,60,1259,997788
仙台,宮城,仙台東北部,574037,281,7910,17180050
仙台,山形,左沢,574041,47,1468,1920736
仙台,山形,寒河江,574042,205,8378,22545767
仙台,山形,天童,574043,77,4977,10125487
仙台,宮城,関山峠,574044,2,20,0
仙台,宮城,根白石,574046,42,3754,8613693
仙台,宮城,富谷,574047,66,2695,3491272
仙台,山形,本道寺,574050,3,17,0
仙台,山形,海味,574051,9,245,235530
仙台,山形,谷地,574052,76,2466,2477955
仙台,山形,楯岡,574053,99,6453,31753204
仙台,宮城,七ッ森,574056,22,935,688591
仙台,宮城,吉岡,574057,63,3833,7678276
仙台,山形,富並,574062,3,52,0
仙台,unknown_prefecture,unknown_name,574063,35,1469,1474920
仙台,山形,銀山温泉,574064,1,4,0
